date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:53	314/314	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/phone.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/phone.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:54	1749/1749	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow-active-mobile.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow-active-mobile.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:54	1078/1078	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow-active.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow-active.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:55	54690/54690	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20May%202020%2012:09:08%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/body-circular-line.svg	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/body-circular-line.svg	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:55	2912/2912	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:57%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reverse-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:56	1149/1149	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:10:17%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/process-seperator.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/process-seperator.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:56	53933/53933	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/transparent-bg.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/transparent-bg.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:57	2916/2916	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:08:59%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/close.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/close.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:57	3807/3807	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/bulb-icon.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/bulb-icon.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:29:58	2917/2917	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/bookmark.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/bookmark.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
